"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","allele_count_min","allele_count_max","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hash_no_sim_mode","id_same_config_different_mode"
"26","2022-07-17-25.2022-07-17-26",0,"Neutrality",9.61375,0.663062992314798,10,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","54ff1052465751d4f023faae721d6b11",13
"27","2022-07-17-25.2022-07-17-26",0,"No-coevolution",9.65333333333333,0.936850001614199,10,8,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","54ff1052465751d4f023faae721d6b11",13
"28","2022-07-17-27.2022-07-17-28",0,"Coevolution",7.4875,2.50082312418485,7,3,14,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","726a16c64db7a83939d3a4b124bae6d0",14
"29","2022-07-17-27.2022-07-17-28",0,"Neutrality",9.51895833333333,0.586411877181255,10,8,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","726a16c64db7a83939d3a4b124bae6d0",14
"30","2022-07-17-27.2022-07-17-28",0,"No-coevolution",9.57791666666667,0.902829968600016,10,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","726a16c64db7a83939d3a4b124bae6d0",14
"31","2022-07-17-29.2022-07-17-30",0,"Coevolution",11.84,1.45009522333258,12,9,15,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","2c35a87c2ab10804b460d8670a7c70f9",15
"32","2022-07-17-29.2022-07-17-30",0,"Neutrality",9.54354166666667,0.660071884746859,10,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","2c35a87c2ab10804b460d8670a7c70f9",15
"33","2022-07-17-29.2022-07-17-30",0,"No-coevolution",9.63791666666667,0.780213196281681,10,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","2c35a87c2ab10804b460d8670a7c70f9",15
"34","2022-07-17-3.2022-07-17-4",0,"Coevolution",7.205,4.87503007139392,7,1,15,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","fa65473e2ea98716537abb4d0991c50e",2
"35","2022-07-17-3.2022-07-17-4",0,"Neutrality",9.72583333333333,0.551591197896491,10,9,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","fa65473e2ea98716537abb4d0991c50e",2
