"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hosts.introgression_individuals_per_generation","pathogens.introgression_individuals_per_generation","hash_no_sim_mode","id_same_config_different_mode"
"43","2022-07-14-35.2022-07-14-36",0,"Coevolution",107.391666666667,3.06058968788994,107,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","1","32","0","500","e045f4d63e29cf0634394c11ebc60082",18
"44","2022-07-14-35.2022-07-14-36",0,"Neutrality",21.5825,3.12137462767692,22,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","1","32","0","500","e045f4d63e29cf0634394c11ebc60082",18
"45","2022-07-14-35.2022-07-14-36",0,"No-coevolution",34.0816666666667,3.22733481977836,34,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","1","32","0","500","e045f4d63e29cf0634394c11ebc60082",18
"46","2022-07-14-37.2022-07-14-38",0,"Coevolution",114.951666666667,4.90367964005018,116,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","32","0","500","26fefcbd2dacd2e9750a9b1c38989850",19
"47","2022-07-14-37.2022-07-14-38",0,"Neutrality",20.9291666666667,3.63434859550515,21,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","32","0","500","26fefcbd2dacd2e9750a9b1c38989850",19
"48","2022-07-14-37.2022-07-14-38",0,"No-coevolution",32.5933333333333,3.11675244422029,32,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","32","0","500","26fefcbd2dacd2e9750a9b1c38989850",19
"49","2022-07-14-39.2022-07-14-40",0,"Coevolution",162.678333333333,5.67378624078011,163,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","32","0","500","2a40bec5f6a9e8b2bc317e41aa30f014",20
"50","2022-07-14-39.2022-07-14-40",0,"Neutrality",21.265,3.47800547753327,21,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","32","0","500","2a40bec5f6a9e8b2bc317e41aa30f014",20
"51","2022-07-14-39.2022-07-14-40",0,"No-coevolution",43.4183333333333,4.21698575251926,43,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","32","0","500","2a40bec5f6a9e8b2bc317e41aa30f014",20
"52","2022-07-14-41.2022-07-14-42",0,"Coevolution",163.46,3.82528273202996,163,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","4","32","0","500","b0e4b669915bd917b47b24d56e26dddb",21
