"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hosts.introgression_individuals_per_generation","pathogens.introgression_individuals_per_generation","hash_no_sim_mode","run_id_same_config_different_mode"
"36","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","1","no_coevolution","32","2022-07-14-36","0","500","e045f4d63e29cf0634394c11ebc60082","2022-07-14-35.2022-07-14-36"
"37","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","default","32","2022-07-14-37","0","500","26fefcbd2dacd2e9750a9b1c38989850","2022-07-14-37.2022-07-14-38"
"38","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","no_coevolution","32","2022-07-14-38","0","500","26fefcbd2dacd2e9750a9b1c38989850","2022-07-14-37.2022-07-14-38"
"39","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","default","32","2022-07-14-39","0","500","2a40bec5f6a9e8b2bc317e41aa30f014","2022-07-14-39.2022-07-14-40"
"40","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","no_coevolution","32","2022-07-14-40","0","500","2a40bec5f6a9e8b2bc317e41aa30f014","2022-07-14-39.2022-07-14-40"
"41","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","4","default","32","2022-07-14-41","0","500","b0e4b669915bd917b47b24d56e26dddb","2022-07-14-41.2022-07-14-42"
"42","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","4","no_coevolution","32","2022-07-14-42","0","500","b0e4b669915bd917b47b24d56e26dddb","2022-07-14-41.2022-07-14-42"
"43","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","default","32","2022-07-14-43","0","500","709e78ebd5e54d2a91c49029fb611701","2022-07-14-43.2022-07-14-44"
"44","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","no_coevolution","32","2022-07-14-44","0","500","709e78ebd5e54d2a91c49029fb611701","2022-07-14-43.2022-07-14-44"
"45","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","default","32","2022-07-14-45","0","500","f06cedde4509cb5f100ae8d0bdee8a6f","2022-07-14-45.2022-07-14-46"
"46","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","no_coevolution","32","2022-07-14-46","0","500","f06cedde4509cb5f100ae8d0bdee8a6f","2022-07-14-45.2022-07-14-46"
"47","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","default","32","2022-07-14-47","0","500","a946345e83619240b52510d3a3358c5f","2022-07-14-47.2022-07-14-48"
"48","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","no_coevolution","32","2022-07-14-48","0","500","a946345e83619240b52510d3a3358c5f","2022-07-14-47.2022-07-14-48"
"49","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","1","default","32","2022-07-14-49","0","500","8392bad5998aa1df08517460373c68dd","2022-07-14-49.2022-07-14-50"
"50","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","1","no_coevolution","32","2022-07-14-50","0","500","8392bad5998aa1df08517460373c68dd","2022-07-14-49.2022-07-14-50"
"51","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","4","default","32","2022-07-14-51","0","500","ba3687e6c8900f5599aa4f195206e23f","2022-07-14-51.2022-07-14-52"
"52","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","4","no_coevolution","32","2022-07-14-52","0","500","ba3687e6c8900f5599aa4f195206e23f","2022-07-14-51.2022-07-14-52"
"53","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","default","32","2022-07-14-53","0","500","9070d1032fdc6ec41299e6711c23ebec","2022-07-14-53.2022-07-14-54"
"54","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","no_coevolution","32","2022-07-14-54","0","500","9070d1032fdc6ec41299e6711c23ebec","2022-07-14-53.2022-07-14-54"
"55","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","4","default","32","2022-07-14-55","0","500","cecfb54e7b440e74708bd04531fa22b6","2022-07-14-55.2022-07-14-56"
"56","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","4","no_coevolution","32","2022-07-14-56","0","500","cecfb54e7b440e74708bd04531fa22b6","2022-07-14-55.2022-07-14-56"
